,country,language,gender,hasAndroidApp,hasIosApp,daysSinceLastLogin,productsListed,productsSold,productsPassRate,productsWished,productsBought,socialProductsLiked,socialNbFollowers,socialNbFollows,OS
83029,Allemagne,de,F,False,True,87,0,0,0.0,0,0,3,4,8,iOS
83033,France,fr,F,False,False,395,0,0,0.0,0,1,0,4,8,Browser
83036,France,fr,F,False,True,15,9,18,100.0,3,1,4,18,9,iOS
83037,Royaume-Uni,en,F,False,True,25,0,0,0.0,17,0,9,4,8,iOS
83038,Italie,en,F,False,True,587,0,0,0.0,0,0,17,4,8,iOS
83040,Hong Kong,en,F,False,True,693,0,0,0.0,0,0,1,4,8,iOS
83041,Italie,it,F,False,True,36,0,0,0.0,1,0,30,5,8,iOS
83043,France,fr,F,False,False,13,1,2,0.0,1,1,19,7,11,Browser
83051,France,fr,F,False,False,195,0,0,0.0,0,0,1,3,8,Browser
83053,Etats-Unis,en,F,False,False,35,0,0,0.0,3,1,9,6,9,Browser
83059,Etats-Unis,en,M,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83067,Allemagne,de,F,False,False,11,0,0,0.0,1,0,2,3,10,Browser
83073,France,fr,F,False,True,628,1,0,0.0,0,0,0,7,8,iOS
83075,Allemagne,de,F,False,False,361,0,0,0.0,4,0,0,3,8,Browser
83076,Italie,it,F,False,True,22,2,2,0.0,1,0,5,9,12,iOS
83080,Australie,en,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83081,France,fr,F,False,True,12,0,0,0.0,0,0,1,3,9,iOS
83096,Etats-Unis,en,F,False,True,274,0,0,0.0,3,0,15,3,8,iOS
83103,Irlande,fr,F,False,True,230,0,0,0.0,0,0,36,3,9,iOS
83115,France,fr,M,False,False,422,0,0,0.0,1,0,1,3,8,Browser
83116,Italie,it,F,False,False,282,0,0,0.0,30,0,0,3,8,Browser
83118,France,fr,F,False,False,12,2,4,100.0,0,0,1,7,8,Browser
83122,Espagne,es,F,True,False,390,0,0,0.0,0,0,1,3,8,Android
83123,Allemagne,de,F,False,True,395,0,0,0.0,0,0,5,3,8,iOS
83125,France,fr,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83128,Royaume-Uni,en,M,False,True,141,0,0,0.0,0,1,4,3,9,iOS
83136,Canada,fr,F,False,True,572,0,0,0.0,0,1,15,7,9,iOS
83140,France,fr,F,False,False,691,0,0,0.0,0,1,0,3,8,Browser
83145,France,fr,M,False,False,454,0,0,0.0,0,0,1,3,8,Browser
83150,Allemagne,de,M,False,True,77,0,0,0.0,0,0,9,3,8,iOS
83154,Israel,en,F,False,True,489,0,0,0.0,0,1,0,3,8,iOS
83155,Royaume-Uni,en,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83158,Etats-Unis,en,F,True,False,525,0,0,0.0,23,0,13,3,8,Android
83166,Australie,en,F,False,False,631,0,0,0.0,1,0,0,3,8,Browser
83169,Royaume-Uni,en,M,False,True,678,0,0,0.0,6,0,23,18,13,iOS
83172,France,fr,M,False,True,652,0,0,0.0,0,0,5,4,11,iOS
83175,Italie,it,F,False,False,693,0,0,0.0,5,0,0,3,8,Browser
83177,Belgique,en,F,False,True,693,0,0,0.0,0,0,4,3,8,iOS
83180,Italie,it,F,False,False,693,0,0,0.0,1,0,1,3,8,Browser
83185,Etats-Unis,en,F,False,True,438,0,0,0.0,0,1,7,6,10,iOS
83193,Allemagne,de,F,False,False,693,0,0,0.0,0,0,4,3,8,Browser
83195,Espagne,en,F,False,False,17,11,3,66.0,0,0,0,11,8,Browser
83197,France,fr,F,False,True,683,0,0,0.0,0,0,6,3,8,iOS
83199,France,fr,F,True,False,73,0,0,0.0,0,0,1,3,8,Android
83200,Suède,en,M,False,True,276,0,0,0.0,0,0,2,3,8,iOS
83204,Belgique,fr,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83207,Hong Kong,en,M,False,False,693,0,0,0.0,0,0,17,3,8,Browser
83209,Danemark,en,M,False,False,211,0,0,0.0,0,5,0,7,8,Browser
83213,France,fr,F,False,True,542,0,0,0.0,0,0,2,3,8,iOS
83219,France,fr,F,False,False,195,0,0,0.0,1,0,5,3,10,Browser
83233,France,fr,F,False,True,36,0,0,0.0,0,3,4,4,11,iOS
83234,Paraguay,en,F,False,True,24,0,0,0.0,0,0,12,6,8,iOS
83238,Royaume-Uni,en,F,False,True,433,0,0,0.0,0,0,4,3,8,iOS
83242,Espagne,es,M,False,False,46,0,0,0.0,0,2,7,3,8,Browser
83243,France,fr,F,False,True,446,0,0,0.0,0,0,1,4,10,iOS
83245,Hong Kong,en,F,False,False,66,0,0,0.0,5,0,6,3,8,Browser
83248,France,fr,F,False,False,385,0,0,0.0,1,0,0,3,8,Browser
83249,Etats-Unis,en,F,False,False,693,0,0,0.0,0,1,0,3,8,Browser
83252,Royaume-Uni,en,F,False,False,12,0,1,0.0,0,0,0,3,8,Browser
83255,Italie,it,F,False,True,681,0,0,0.0,10,0,3,3,8,iOS
83256,France,fr,F,False,False,691,0,0,0.0,0,1,0,3,8,Browser
83258,Italie,it,F,False,True,363,0,2,100.0,0,0,2,5,8,iOS
83270,Pays-Bas,en,F,False,True,681,0,0,0.0,0,0,1,3,8,iOS
83272,Suède,en,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83274,Etats-Unis,en,F,False,False,48,0,0,0.0,0,0,16,3,8,Browser
83276,France,fr,M,False,False,677,0,0,0.0,0,1,0,3,8,Browser
83284,France,fr,M,False,False,339,1,1,0.0,0,0,0,4,8,Browser
83285,Roumanie,en,F,False,False,77,0,0,0.0,0,1,14,3,0,Browser
83290,Etats-Unis,en,F,False,False,613,0,0,0.0,1,0,1,3,9,Browser
83312,Royaume-Uni,en,F,False,True,652,0,0,0.0,0,0,8,5,9,iOS
83323,France,en,F,False,True,429,0,0,0.0,0,0,39,5,8,iOS
83324,France,fr,M,False,True,659,1,0,0.0,0,0,8,3,8,iOS
83328,Australie,en,F,False,False,693,0,0,0.0,1,0,0,4,8,Browser
83330,Etats-Unis,en,F,False,False,693,0,0,0.0,0,0,6,3,8,Browser
83331,Royaume-Uni,en,M,False,False,29,0,0,0.0,566,23,275,12,8,Browser
83332,Allemagne,de,F,False,False,292,0,1,0.0,0,5,3,4,8,Browser
83335,Etats-Unis,en,F,False,False,195,0,0,0.0,1,1,0,3,8,Browser
83343,Italie,it,F,False,False,205,1,1,0.0,0,0,0,3,8,Browser
83349,France,fr,M,False,True,143,0,0,0.0,3,0,5,4,8,iOS
83350,Royaume-Uni,en,F,False,False,21,0,0,0.0,0,0,6,3,8,Browser
83351,France,fr,F,False,True,315,0,0,0.0,0,0,8,7,8,iOS
83354,Israel,en,F,True,False,12,0,0,0.0,12,1,139,3,8,Android
83359,Royaume-Uni,en,F,False,False,188,0,0,0.0,0,0,1,3,8,Browser
83367,Espagne,es,F,False,True,11,39,47,93.0,66,1,593,58,48,iOS
83369,Etats-Unis,en,F,False,True,575,0,0,0.0,0,0,7,3,8,iOS
83370,Allemagne,de,F,False,False,13,0,0,0.0,1,0,1,3,8,Browser
83379,Italie,it,M,True,False,446,0,0,0.0,0,0,1,3,8,Android
83393,Chine,en,F,False,True,60,0,0,0.0,0,0,6,3,8,iOS
83398,Grèce,en,F,False,False,12,0,0,0.0,36,3,6,4,8,Browser
83403,Etats-Unis,en,F,False,False,629,0,1,0.0,7,0,1,4,8,Browser
83405,Belgique,en,F,False,True,514,0,0,0.0,0,0,14,4,8,iOS
83406,Suède,en,F,False,True,16,0,0,0.0,4,7,99,5,9,iOS
83407,Brésil,en,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83408,Etats-Unis,en,F,False,False,693,0,0,0.0,2,0,0,3,8,Browser
83431,Royaume-Uni,en,M,False,False,519,0,0,0.0,4,0,0,3,8,Browser
83435,France,fr,F,False,True,12,0,0,0.0,6,3,7,6,15,iOS
83439,Allemagne,de,M,False,False,654,0,0,0.0,1,0,0,3,8,Browser
83443,Allemagne,de,M,False,False,536,0,0,0.0,0,0,1,3,8,Browser
83446,Suisse,fr,M,True,False,282,0,0,0.0,1,0,0,3,8,Android
83447,Pays-Bas,en,F,False,False,168,0,0,0.0,16,0,6,3,8,Browser
83466,Etats-Unis,en,F,False,False,693,0,0,0.0,3,0,0,3,9,Browser
83468,Royaume-Uni,en,F,True,False,33,0,0,0.0,3,0,2,3,8,Android
83475,Italie,it,M,False,False,693,0,0,0.0,6,0,3,3,8,Browser
83478,France,fr,F,False,False,200,0,0,0.0,0,0,2,3,8,Browser
83483,Allemagne,de,F,False,False,693,0,0,0.0,2,0,0,3,8,Browser
83491,Egypte,en,F,False,True,639,0,0,0.0,0,0,18,3,8,iOS
83504,France,es,F,False,False,17,0,0,0.0,39,1,39,3,8,Browser
83506,Espagne,en,F,True,False,49,0,0,0.0,1,0,0,3,8,Android
83510,Royaume-Uni,en,F,False,True,78,0,0,0.0,0,0,13,3,8,iOS
83512,Espagne,es,F,True,False,566,0,0,0.0,0,0,48,3,8,Android
83514,Espagne,es,F,False,False,77,0,0,0.0,1,0,18,3,8,Browser
83516,Danemark,en,F,False,True,610,0,0,0.0,0,0,4,3,7,iOS
83521,Royaume-Uni,en,F,False,True,19,1,0,0.0,20,0,40,7,14,iOS
83522,France,fr,F,False,True,120,5,6,83.0,1,0,6,4,8,iOS
83525,Espagne,es,F,False,False,195,0,0,0.0,1,0,2,3,8,Browser
83526,Pays-Bas,en,F,False,True,651,0,0,0.0,0,0,3,6,8,iOS
83529,France,fr,F,False,True,394,0,0,0.0,0,0,3,3,8,iOS
83540,Etats-Unis,en,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83552,Royaume-Uni,en,F,False,True,132,0,2,66.0,0,0,0,10,8,iOS
83553,Espagne,es,F,True,False,632,0,0,0.0,1,0,1,4,8,Android
83555,France,fr,F,False,False,139,0,0,0.0,6,0,0,3,8,Browser
83557,France,fr,M,False,False,11,0,0,0.0,1,0,1,3,8,Browser
83575,France,fr,M,False,True,690,0,0,0.0,0,0,1,3,8,iOS
83578,Australie,en,M,False,True,13,0,0,0.0,0,0,159,4,9,iOS
83586,Royaume-Uni,en,M,False,True,11,4,4,100.0,0,0,2,5,8,iOS
83591,Allemagne,de,M,False,True,374,0,0,0.0,1,0,1,4,8,iOS
83594,Espagne,es,F,True,False,268,0,0,0.0,1,0,0,3,8,Android
83596,Italie,it,F,False,False,129,0,0,0.0,1,0,1,3,8,Browser
83604,Suisse,fr,M,True,False,14,0,0,0.0,3,4,139,4,8,Android
83606,Danemark,en,F,False,True,693,0,0,0.0,0,0,5,3,8,iOS
83621,Etats-Unis,en,F,False,False,97,0,0,0.0,1,0,0,3,9,Browser
83623,Singapour,en,M,True,False,254,0,0,0.0,1,0,0,3,8,Android
83629,France,fr,M,False,False,98,0,0,0.0,1,0,1,3,8,Browser
83633,Etats-Unis,en,M,False,False,685,0,0,0.0,4,0,0,3,8,Browser
83636,France,fr,F,False,True,469,1,0,0.0,0,0,0,3,8,iOS
83637,France,fr,F,False,True,17,1,5,60.0,0,0,37,4,8,iOS
83638,France,fr,F,False,False,14,0,0,0.0,2,0,70,3,8,Browser
83644,France,fr,M,False,True,416,0,1,0.0,0,0,0,3,8,iOS
83647,France,fr,F,False,False,69,0,0,0.0,0,0,20,3,8,Browser
83650,Etats-Unis,en,F,False,False,658,0,0,0.0,1,1,0,3,8,Browser
83654,France,fr,F,False,True,633,0,0,0.0,0,0,1,3,10,iOS
83655,Royaume-Uni,en,F,False,False,24,0,0,0.0,0,1,0,3,8,Browser
83656,Danemark,en,F,False,True,15,5,6,33.0,1,8,20,10,9,iOS
